CustomerID,Churn,Tenure,PreferredLoginDevice,PreferredPaymentMode,Gender,NumberOfDeviceRegistered,SatisfactionScore,MaritalStatus,Complain,CouponUsed,NomeCustomer
17850.0,1,4.0,Mobile Phone,Debit Card,Female,3.0,2,Single,1,1.0,Srta. Amanda Sousa
13047.0,1,,Phone,UPI,Male,4.0,3,Single,1,0.0,Joaquim Câmara
12583.0,1,,Phone,Debit Card,Male,4.0,3,Single,1,0.0,Cauã Rocha
13748.0,1,0.0,Phone,Debit Card,Male,4.0,589314,Single,0,0.0,Sr. Otávio Andrade
15100.0,1,0.0,Phone,CC,Male,3.0,5,Single,0,1.0,Caleb Cunha
15291.0,1,0.0,Computer,Debit Card,Female,5.0,5,Single,1,4.0,Sofia Pereira
14688.0,1,,Phone,Cash on Delivery,Male,3.0,2,Divorced,0,0.0,Gael Henrique Silva
17809.0,1,,Phone,CC,Male,3.0,2,Divorced,1,2.0,Dr. Henry Machado
15311.0,1,,Phone,Debit Card,Male,5.0,3,,0,1.0,João Lucas Abreu
14527.0,1,4.0,Mobile Phone,Cash on Delivery,Female,3.0,3,Divorced,0,9.0,Mariana Fernandes
16098.0,1,11.0,0,Debit Card,Male,4.0,3,Single,1,0.0,Eduardo Cunha
18074.0,1,0.0,Phone,CC,Male,4.0,3,Divorced,1,0.0,Cauã Borges
17420.0,1,9.0,Mobile Phone,Credit Card,Male,4.0,2,Single,0,0.0,Calebe Fogaça
16029.0,1,0.0,Computer,Debit Card,Female,4.0,2,Single,1,1.0,Julia Aparecida
16250.0,1,0.0,Computer,Debit Card,Male,5.0,3,Single,1,1.0,Dr. Vitor Gabriel Campos
12431.0,1,19.0,Mobile Phone,Debit Card,Female,3.0,4,Divorced,1,1.0,Anna Liz Novaes
17511.0,1,0.0,Mobile Phone,Debit Card,Male,5.0,3,Divorced,1,6.0,Luiz Miguel Oliveira
17548.0,1,20.0,Mobile Phone,Credit Card,Female,3.0,2,Divorced,0,11.0,Ana Lívia Aparecida
13705.0,1,,Mobile Phone,E wallet,Male,3.0,3,Single,1,0.0,Sr. João Vitor Barros
13747.0,1,14.0,Computer,Debit Card,Male,5.0,2,Single,0,0.0,Carlos Eduardo Garcia
13408.0,1,0.0,Phone,Credit Card,Female,3.0,5,Single,0,1.0,Mirella Porto
13767.0,0,,Phone,E wallet,Male,3.0,3,Divorced,1,0.0,Enrico Freitas
17924.0,0,18.0,Phone,Debit Card,Male,3.0,4,Married,0,1.0,Gustavo Henrique Rios
13448.0,0,0.0,Mobile Phone,Credit Card,Male,4.0,589314,Divorced,0,1.0,Brayan Pereira
15862.0,0,30.0,Phone,CC,Female,4.0,4,Divorced,1,1.0,Srta. Yasmin Siqueira
15513.0,0,,Computer,E wallet,Female,3.0,3,,0,1.0,Elisa Martins
12791.0,0,0.0,Phone,CC,Male,3.0,2,Divorced,0,0.0,João Gabriel Porto
16218.0,0,,Computer,CC,Male,3.0,4,Married,0,0.0,Sr. Luan Vargas
14045.0,0,30.0,Mobile Phone,Debit Card,Male,2.0,2,Married,1,1.0,Ian Andrade
14307.0,0,0.0,Computer,CC,Male,4.0,3,Married,1,0.0,Murilo da Mata
17908.0,0,23.0,Mobile Phone,Debit Card,Female,3.0,4,Single,0,2.0,Hadassa Nunes
17920.0,0,14.0,Phone,Debit Card,Male,3.0,3,Married,0,1.0,Dr. Heitor Rezende
12838.0,0,0.0,Phone,COD,Male,3.0,4,Divorced,1,1.0,Miguel Ramos
13255.0,1,0.0,Computer,COD,Female,5.0,5,Single,0,1.0,Cecília da Luz
16583.0,0,3.0,Computer,CC,Male,3.0,5,Married,0,0.0,Josué Souza
18085.0,0,18.0,Mobile Phone,Debit Card,Female,3.0,5,Married,1,0.0,Zoe da Luz
13758.0,0,29.0,Phone,Debit Card,Female,3.0,5,Married,1,1.0,Dra. Mariane Pacheco
13694.0,0,6.0,Phone,Debit Card,Male,,2,Single,0,0.0,Luiz Miguel Câmara
15983.0,1,0.0,Mobile Phone,Debit Card,Male,4.0,2,Single,0,0.0,Thomas Monteiro
14849.0,0,19.0,Mobile Phone,E wallet,Female,3.0,5,Married,0,4.0,Ana Julia Camargo
17968.0,0,,Phone,Debit Card,Female,3.0,2,Single,0,1.0,Eduarda Vieira
16210.0,0,4.0,Phone,Credit Card,Female,3.0,2,Divorced,1,1.0,Sra. Ana Luiza Gomes
17897.0,0,,Phone,CC,Female,3.0,4,Single,0,1.0,Nina Moura
17377.0,1,4.0,Phone,E wallet,Female,3.0,4,,1,0.0,Alexia Rodrigues
16552.0,0,23.0,Phone,Credit Card,Male,4.0,3,Divorced,0,0.0,Sr. Vitor Gabriel Sá
17181.0,0,26.0,Phone,Credit Card,Female,2.0,5,,0,1.0,Manuela Camargo
17951.0,0,6.0,Phone,CC,Female,3.0,4,Divorced,0,0.0,Maya Castro
14729.0,0,28.0,Mobile Phone,Credit Card,Male,2.0,4,Single,0,,Alexandre Silveira
12748.0,0,24.0,Mobile Phone,Credit Card,Female,3.0,4,,0,0.0,Sra. Sarah Teixeira
15012.0,0,,Phone,CC,Female,3.0,4,Single,0,1.0,Sofia Caldeira
12868.0,1,0.0,Mobile Phone,Debit Card,Male,4.0,3,Divorced,1,1.0,Dr. Thiago Pereira
17572.0,0,,Computer,CC,Male,2.0,2,Married,0,0.0,Eduardo Freitas
14078.0,0,15.0,Computer,Credit Card,Female,3.0,3,Married,0,0.0,Ágatha Vasconcelos
14001.0,0,11.0,Mobile Phone,Debit Card,Male,3.0,3,Divorced,0,0.0,Alexandre Peixoto
12662.0,0,11.0,Mobile Phone,COD,Male,3.0,2,Divorced,0,0.0,Samuel Almeida
15525.0,0,22.0,Computer,Debit Card,Male,3.0,2,Married,1,0.0,Luiz Miguel das Neves
14237.0,0,7.0,Computer,Credit Card,Male,3.0,3,Married,1,2.0,Benjamin da Costa
17905.0,0,13.0,Phone,CC,Male,,589314,Divorced,1,1.0,Bruno Barros
15485.0,0,0.0,Phone,Debit Card,Male,2.0,4,Married,1,0.0,Dr. Bernardo Teixeira
12433.0,0,,Computer,CC,Female,3.0,2,Single,0,1.0,Carolina Cardoso
16955.0,0,13.0,Computer,Debit Card,Male,4.0,2,Divorced,0,1.0,Dr. Yan Cavalcante
15350.0,1,0.0,Mobile Phone,Credit Card,Male,5.0,2,Divorced,0,7.0,Vinícius Pereira
15605.0,0,3.0,Computer,Debit Card,Male,4.0,3,Single,0,2.0,Heitor Nogueira
18144.0,0,0.0,Computer,Debit Card,Female,3.0,3,Single,0,1.0,Dra. Gabriela Silva
15922.0,1,0.0,Phone,COD,Female,3.0,5,Single,1,1.0,Maria Liz Rios
14594.0,1,0.0,Computer,E wallet,Female,4.0,5,Single,0,0.0,Sra. Maysa Moreira
15165.0,1,,Phone,Cash on Delivery,Male,3.0,3,Single,0,0.0,Dante da Cruz
14911.0,0,27.0,Mobile Phone,,Female,3.0,5,Divorced,0,1.0,Ana Luiza Fernandes
16456.0,0,10.0,Computer,UPI,Male,3.0,2,Married,1,0.0,Yuri da Conceição
17841.0,0,11.0,Mobile Phone,Debit Card,Male,3.0,3,Married,0,1.0,Henry Abreu
12472.0,0,4.0,Computer,Credit Card,Male,5.0,3,Divorced,0,1.0,Bento da Conceição
17346.0,0,8.0,Computer,E wallet,Female,3.0,3,Single,0,1.0,Ana Beatriz Farias
17643.0,1,0.0,Phone,CC,Male,4.0,2,Single,1,0.0,Théo da Costa
17873.0,0,25.0,Phone,Debit Card,Female,4.0,2,Single,0,0.0,Raquel Cunha
13093.0,0,23.0,Mobile Phone,Credit Card,Female,3.0,2,Married,0,1.0,Caroline Silveira
12921.0,0,16.0,Mobile Phone,E wallet,Female,3.0,2,Divorced,1,0.0,Olívia da Cruz
13468.0,1,0.0,Phone,Debit Card,Female,3.0,5,Divorced,0,1.0,Maria Luísa Correia
17760.0,0,25.0,Computer,Debit Card,Male,,3,Single,1,,Calebe Ribeiro
16928.0,0,5.0,Phone,Debit Card,Female,3.0,4,Divorced,0,1.0,Maria Lima
16048.0,1,0.0,Phone,Debit Card,Male,4.0,3,Single,1,1.0,Ravi Lucca Siqueira
16274.0,0,,Phone,CC,Female,,3,Married,0,0.0,Beatriz Araújo
14496.0,0,5.0,Computer,E wallet,Male,3.0,2,Divorced,0,1.0,Lucca Caldeira
14696.0,0,14.0,Phone,Debit Card,Male,3.0,5,Married,0,1.0,Gael Correia
16539.0,0,13.0,Phone,COD,Male,3.0,2,Married,0,2.0,Pietro Carvalho
17025.0,0,18.0,Mobile Phone,UPI,Male,2.0,2,Divorced,0,1.0,Fernando da Mota
13777.0,0,4.0,Computer,Credit Card,Male,3.0,3,,0,1.0,Josué Barbosa
17690.0,0,7.0,Mobile Phone,Debit Card,Male,4.0,5,Divorced,0,0.0,Yan Brito
12947.0,0,10.0,Phone,Credit Card,Female,4.0,5,Divorced,0,1.0,Ágatha Albuquerque
17460.0,0,18.0,Computer,,Male,2.0,3,Divorced,0,0.0,Isaac Cavalcante
18229.0,1,0.0,Computer,Credit Card,Male,3.0,3,Married,0,1.0,Ryan Mendes
14142.0,0,12.0,Computer,Cash on Delivery,Female,3.0,3,Single,0,10.0,Maria Liz Araújo
17069.0,0,2.0,Phone,Debit Card,Male,3.0,2,Single,0,0.0,Mateus Abreu
13065.0,0,15.0,Mobile Phone,Debit Card,Female,2.0,5,Single,1,0.0,Julia Viana
14606.0,0,2.0,Mobile Phone,E wallet,Male,3.0,2,Married,0,1.0,João Pedro Lima
16835.0,0,0.0,Phone,,Female,3.0,3,Divorced,0,1.0,Dra. Raquel Cassiano
15235.0,0,15.0,Phone,CC,Female,4.0,5,Married,1,4.0,Laís Cunha
13576.0,0,24.0,Phone,Debit Card,Male,3.0,2,Divorced,0,1.0,Vitor Hugo Araújo
18011.0,1,0.0,Computer,CC,Male,4.0,4,Single,0,1.0,Dr. Benjamin Aragão
13090.0,0,11.0,Computer,Debit Card,Male,4.0,589314,Divorced,0,6.0,Rhavi Montenegro
15694.0,0,,Phone,Cash on Delivery,Male,4.0,5,,0,0.0,Emanuel Araújo
14741.0,0,19.0,Mobile Phone,Cash on Delivery,Female,5.0,4,Divorced,1,,Anna Liz Cirino
13715.0,1,0.0,Phone,Debit Card,Male,3.0,3,Single,0,1.0,Bernardo Rocha
14092.0,0,2.0,Mobile Phone,Credit Card,Male,4.0,4,Divorced,0,0.0,Nathan Campos
17732.0,0,4.0,Mobile Phone,Credit Card,Male,4.0,2,Divorced,0,1.0,Josué Pacheco
12855.0,0,0.0,Computer,Debit Card,Male,2.0,5,Married,0,1.0,Asafe Pinto
15752.0,0,18.0,Mobile Phone,Credit Card,Male,3.0,2,Divorced,1,0.0,Otto Ribeiro
17855.0,0,28.0,Mobile Phone,Credit Card,Male,3.0,5,Single,1,,Vicente Dias
14047.0,1,10.0,Computer,Debit Card,Male,3.0,4,Divorced,1,5.0,Gustavo Rios
17925.0,0,,Phone,CC,Male,3.0,2,Divorced,0,1.0,Dr. Isaque da Luz
13941.0,0,10.0,Mobile Phone,Credit Card,Male,3.0,2,Divorced,0,0.0,Davi Lucca Rios
17017.0,0,10.0,Computer,Credit Card,Female,3.0,2,Married,1,0.0,Sra. Natália Dias
14135.0,0,11.0,Mobile Phone,Credit Card,Female,2.0,5,Married,1,0.0,Alexia Marques
13108.0,0,0.0,Computer,Debit Card,Female,3.0,4,Married,0,0.0,Beatriz Barbosa
12471.0,0,23.0,Mobile Phone,Debit Card,Male,3.0,4,Married,0,,Heitor Montenegro
15601.0,0,26.0,0,Credit Card,Male,3.0,3,,1,,Davi Lucca Ferreira
13418.0,0,15.0,Phone,Debit Card,Male,3.0,3,Divorced,0,4.0,Joaquim Freitas
14766.0,0,28.0,Mobile Phone,COD,Male,3.0,2,Divorced,1,1.0,Emanuel Macedo
15658.0,0,0.0,Computer,Credit Card,Male,3.0,5,Divorced,1,2.0,Kevin Pimenta
14388.0,0,,Phone,Debit Card,Female,3.0,2,Single,0,1.0,Dra. Alexia Rios
14901.0,1,7.0,Computer,Debit Card,Male,3.0,3,,1,0.0,Kaique Ribeiro
18041.0,0,11.0,Mobile Phone,Debit Card,Male,3.0,2,Married,0,0.0,Davi Luiz da Luz
15955.0,1,-10000.0,Phone,CC,Male,3.0,4,Married,1,1.0,Cauê Souza
15070.0,0,1.0,Phone,Debit Card,Female,,2,Single,0,0.0,Daniela da Mata
16244.0,0,22.0,Computer,Debit Card,Female,3.0,5,Single,1,,Giovanna Silva
15111.0,0,9.0,Phone,COD,Male,3.0,4,Single,0,6.0,Gustavo Rodrigues
14390.0,0,10.0,Computer,CC,Male,3.0,2,Divorced,1,0.0,Dr. Thiago Mendonça
16546.0,0,15.0,Computer,E wallet,Female,3.0,4,Divorced,0,2.0,Ana Júlia Borges
15260.0,1,,Mobile Phone,Debit Card,Male,3.0,3,Single,0,0.0,Dr. João Guilherme Aparecida
13305.0,0,8.0,Mobile Phone,E wallet,Male,3.0,4,Divorced,0,3.0,Lucas Gabriel Vargas
14491.0,0,9.0,Computer,Debit Card,Male,2.0,2,Divorced,0,0.0,João Castro
14060.0,0,24.0,Mobile Phone,Credit Card,Male,5.0,4,Married,0,0.0,Dr. Yuri Santos
15923.0,0,-10000.0,Mobile Phone,Debit Card,Male,3.0,4,Single,0,1.0,Anthony Camargo
16752.0,0,0.0,Mobile Phone,Credit Card,Female,4.0,3,Single,0,1.0,Clarice Nogueira
17287.0,0,4.0,Mobile Phone,COD,Male,2.0,2,Divorced,0,3.0,Léo Pacheco
15363.0,0,9.0,Computer,Debit Card,Female,3.0,4,Divorced,0,0.0,Clara Lopes
12915.0,0,11.0,Mobile Phone,Debit Card,Female,4.0,4,Divorced,0,1.0,Ana Cecília das Neves
15544.0,0,4.0,Mobile Phone,UPI,Male,4.0,5,Divorced,0,0.0,Asafe Fogaça
15738.0,0,18.0,Computer,,Male,3.0,5,Married,0,5.0,Josué Rios
16042.0,0,4.0,Phone,Debit Card,Male,3.0,2,Married,1,1.0,Luiz Gustavo Vasconcelos
17381.0,0,6.0,Computer,Debit Card,Female,3.0,4,Divorced,0,2.0,Maria Luísa Pinto
15827.0,0,12.0,Mobile Phone,Credit Card,Male,3.0,5,Divorced,1,,Sr. Isaac Castro
14180.0,0,16.0,Computer,Debit Card,Female,3.0,2,Single,0,0.0,Maria Sophia Alves
13117.0,0,22.0,Mobile Phone,Cash on Delivery,Female,4.0,3,Single,1,1.0,Lívia Viana
16916.0,1,15.0,Phone,Credit Card,Male,4.0,4,Divorced,0,7.0,Josué da Mata
17964.0,0,0.0,Phone,Debit Card,Female,3.0,4,Single,1,0.0,Bianca Garcia
14466.0,0,5.0,Mobile Phone,,Female,4.0,4,Divorced,1,6.0,Olivia Câmara
17235.0,0,0.0,Phone,Debit Card,Male,3.0,3,Single,1,1.0,Raul Ferreira
16510.0,0,4.0,Mobile Phone,E wallet,Male,3.0,2,Married,0,0.0,Ian Câmara
17802.0,0,5.0,Mobile Phone,Credit Card,Female,2.0,2,Single,0,1.0,Evelyn Guerra
15107.0,1,0.0,Phone,CC,Male,5.0,2,Divorced,1,2.0,João Lucas Azevedo
17976.0,0,4.0,Computer,Debit Card,Female,4.0,3,Divorced,0,3.0,Marcela Ramos
14449.0,0,12.0,Computer,Credit Card,Male,4.0,2,Divorced,0,9.0,Murilo Rocha
15838.0,1,2.0,Mobile Phone,Credit Card,Female,3.0,3,Divorced,1,1.0,Luísa Alves
16781.0,0,20.0,Mobile Phone,Debit Card,Male,3.0,3,Divorced,0,,José Pedro Cavalcanti
17547.0,0,16.0,Computer,Debit Card,Female,4.0,3,Married,0,0.0,Julia Andrade
13491.0,0,0.0,Computer,E wallet,Male,3.0,4,Divorced,1,0.0,Pedro Henrique Ferreira
16186.0,0,27.0,Computer,Debit Card,Female,3.0,3,Single,0,1.0,Sra. Maya Pereira
17685.0,0,18.0,Phone,UPI,Male,3.0,2,Divorced,0,7.0,Danilo Gomes
17581.0,1,,Phone,UPI,Male,5.0,5,Divorced,1,1.0,Gabriel da Cunha
15732.0,0,2.0,Phone,,Male,4.0,2,Single,0,2.0,Pedro Henrique Abreu
13138.0,0,3.0,Mobile Phone,E wallet,Female,4.0,3,Married,0,0.0,Zoe Rodrigues
15823.0,0,0.0,Mobile Phone,E wallet,Female,3.0,4,,0,0.0,Dra. Fernanda Fonseca
17567.0,0,10.0,Mobile Phone,Credit Card,Male,3.0,2,Married,0,0.0,Bernardo Rios
15061.0,0,11.0,Mobile Phone,Debit Card,Male,4.0,589314,Married,1,1.0,Levi Ribeiro
16203.0,0,4.0,Mobile Phone,Credit Card,Female,3.0,2,Single,1,2.0,Letícia Montenegro
15640.0,0,2.0,Mobile Phone,E wallet,Female,4.0,4,Married,1,0.0,Maria Luísa Duarte
15574.0,0,0.0,Phone,Debit Card,Male,3.0,2,Married,0,1.0,Juan Novaes
16770.0,0,20.0,Computer,CC,Male,3.0,3,Single,0,0.0,Gael Leão
17838.0,0,15.0,Mobile Phone,Debit Card,Female,3.0,2,Single,0,0.0,Sra. Emanuella Pimenta
17228.0,0,2.0,Computer,Debit Card,Male,3.0,3,Divorced,0,1.0,Kevin Guerra
14829.0,0,15.0,Phone,COD,Male,3.0,3,Married,1,1.0,Alexandre da Rosa
17412.0,0,5.0,Phone,CC,Female,3.0,4,Divorced,0,0.0,Giovanna Lopes
14031.0,0,3.0,Computer,COD,Female,3.0,3,Divorced,1,1.0,Luna Martins
14775.0,0,15.0,Mobile Phone,UPI,Male,4.0,2,Single,0,0.0,Pedro Miguel Rocha
12971.0,1,,Computer,Cash on Delivery,Female,4.0,4,Single,1,1.0,Sophia Melo
15834.0,0,9.0,Computer,Credit Card,Male,4.0,2,Divorced,0,0.0,Sr. Bryan da Paz
17659.0,0,30.0,Mobile Phone,Credit Card,Male,3.0,3,Divorced,0,1.0,Lucas Gabriel Borges
15299.0,0,,Phone,Debit Card,Female,2.0,3,Divorced,1,0.0,Luana Câmara
15646.0,0,0.0,Computer,CC,Male,3.0,2,Single,0,0.0,Diogo Alves
13958.0,1,4.0,Computer,E wallet,Male,3.0,4,Single,0,7.0,Joaquim Melo
14443.0,0,23.0,Mobile Phone,Cash on Delivery,Male,4.0,2,Single,0,0.0,Brayan Marques
14156.0,1,3.0,Mobile Phone,E wallet,Male,4.0,3,Divorced,1,1.0,Gael Silva
16995.0,0,4.0,Phone,Debit Card,Male,4.0,4,Single,1,1.0,Dr. Thales Guerra
13402.0,0,,Phone,Debit Card,Male,3.0,2,Single,0,1.0,Diogo Rezende
18168.0,0,8.0,Mobile Phone,Debit Card,Male,4.0,4,Single,0,1.0,Sr. Cauê Vasconcelos
17757.0,0,1.0,Mobile Phone,Debit Card,Male,3.0,2,Single,0,1.0,Henry Cavalcanti
14625.0,0,22.0,Phone,UPI,Male,4.0,3,Single,0,1.0,Dr. Benicio Novais
13011.0,1,0.0,Computer,E wallet,Male,2.0,2,Single,1,1.0,Davi Marques
13798.0,0,0.0,Phone,E wallet,Female,3.0,3,Married,1,0.0,Nicole Rios
15384.0,0,3.0,Phone,COD,Male,3.0,4,Divorced,0,1.0,Liam Sá
14264.0,1,0.0,Computer,COD,Male,3.0,5,Single,0,0.0,Thiago Lima
13295.0,0,,Phone,CC,Female,3.0,4,Divorced,0,1.0,Melissa Castro
16754.0,1,,Computer,COD,Male,3.0,2,Single,1,1.0,Dr. Rael da Luz
16634.0,0,10.0,Phone,Debit Card,Female,3.0,5,Married,0,3.0,Kamilly Vargas
18239.0,0,13.0,Mobile Phone,E wallet,Female,3.0,4,Married,0,0.0,Raquel Pires
14576.0,0,10.0,Phone,,Male,3.0,4,Single,1,0.0,João Guilherme Macedo
13145.0,0,16.0,Mobile Phone,Debit Card,Male,4.0,4,Married,0,0.0,João Pedro da Costa
14395.0,0,13.0,Phone,CC,Female,4.0,3,Divorced,0,1.0,Lívia Dias
14865.0,0,27.0,Mobile Phone,Credit Card,Male,3.0,5,Divorced,0,1.0,Bruno Carvalho
15093.0,0,7.0,Computer,E wallet,Female,3.0,3,Divorced,0,1.0,Isabel Gomes
12738.0,0,4.0,Phone,Credit Card,Female,3.0,5,Divorced,0,3.0,Srta. Hadassa Azevedo
16150.0,0,,Computer,CC,Male,3.0,2,Divorced,0,0.0,Nicolas Farias
17552.0,0,16.0,Phone,UPI,Female,3.0,3,Married,1,0.0,Nina Leão
14236.0,0,10.0,Computer,Credit Card,Female,3.0,3,Divorced,1,3.0,Gabrielly Leão
17961.0,0,,Phone,Debit Card,Male,4.0,5,Divorced,0,0.0,Antônio Teixeira
14573.0,0,12.0,Computer,Debit Card,Male,3.0,3,Married,1,0.0,Mateus Mendes
17135.0,0,29.0,Computer,Debit Card,Female,2.0,5,Divorced,0,2.0,Maria da Rosa
17396.0,0,3.0,Mobile Phone,COD,Female,3.0,3,Single,0,3.0,Mariah Nascimento
14213.0,0,14.0,Mobile Phone,E wallet,Male,2.0,5,Divorced,0,1.0,Sr. Ryan Câmara
12967.0,1,0.0,Phone,Credit Card,Male,,5,Divorced,0,1.0,Pedro Henrique Mendonça
12686.0,0,25.0,Mobile Phone,Credit Card,Male,4.0,3,Divorced,1,0.0,Mathias Fernandes
14679.0,0,18.0,Phone,Debit Card,Male,3.0,2,Divorced,0,1.0,Dr. Enzo Martins
15240.0,0,25.0,Mobile Phone,Debit Card,Female,3.0,2,Divorced,0,,Yasmin Alves
18225.0,0,15.0,Computer,Debit Card,Female,3.0,3,Married,0,1.0,Amanda Barros
13370.0,0,3.0,Mobile Phone,Debit Card,Female,5.0,2,Single,0,0.0,Sra. Catarina Martins
16883.0,0,15.0,Computer,COD,Female,4.0,2,Divorced,0,0.0,Ana Julia da Luz
13520.0,1,0.0,Phone,COD,Female,,4,Single,1,1.0,Lunna Cunha
12841.0,0,,Computer,Debit Card,Male,3.0,2,Divorced,0,0.0,Luan Fernandes
16905.0,0,2.0,Mobile Phone,Credit Card,Male,4.0,3,Divorced,0,1.0,João Lucas Sá
12427.0,0,3.0,Computer,,Female,3.0,5,Divorced,0,2.0,Isis Barros
17967.0,0,30.0,Mobile Phone,E wallet,Male,4.0,2,Married,0,0.0,Antony Souza
16891.0,0,23.0,Mobile Phone,Debit Card,Male,4.0,3,Divorced,0,,Benjamim Ferreira
14589.0,0,3.0,Computer,CC,Female,3.0,2,Single,0,5.0,Ana Lívia Vasconcelos
14680.0,0,30.0,Computer,E wallet,Female,4.0,5,Divorced,0,13.0,Srta. Ana da Cruz
17884.0,0,20.0,Mobile Phone,Credit Card,Female,3.0,2,Married,0,0.0,Alícia Pinto
12557.0,0,19.0,Mobile Phone,Debit Card,Male,3.0,3,Divorced,0,,Isaque Cardoso
14083.0,0,8.0,Phone,Debit Card,Male,5.0,3,Single,0,2.0,Danilo Nunes
13013.0,0,27.0,Phone,Debit Card,Female,3.0,3,Single,0,1.0,Nina Sampaio
14210.0,0,7.0,Phone,Debit Card,Male,4.0,3,Married,0,5.0,Léo Cavalcante
16477.0,0,4.0,Mobile Phone,Debit Card,Male,3.0,4,Married,0,1.0,Danilo Vasconcelos
12600.0,1,0.0,Mobile Phone,Credit Card,Male,3.0,3,Divorced,1,0.0,Leonardo Caldeira
16013.0,1,0.0,Phone,CC,Male,5.0,2,Married,0,0.0,Apollo das Neves
17949.0,0,3.0,0,E wallet,Male,3.0,4,Single,0,1.0,Marcos Vinicius Gonçalves
12779.0,0,8.0,Mobile Phone,Debit Card,Male,3.0,3,Divorced,1,0.0,Sr. Breno Pastor
16926.0,1,0.0,Computer,Debit Card,Male,3.0,3,Divorced,0,1.0,Sr. Cauã Sampaio
17787.0,0,,Computer,UPI,Male,3.0,3,Divorced,0,2.0,Dante Vieira
12682.0,0,9.0,Computer,Credit Card,Male,3.0,2,Single,0,1.0,Asafe Ferreira
14723.0,1,0.0,Computer,COD,Male,4.0,3,Single,0,1.0,Paulo Ribeiro
17954.0,0,28.0,Mobile Phone,Debit Card,Female,3.0,4,Single,0,,Ana Lívia Montenegro
17819.0,0,14.0,Computer,Debit Card,Male,3.0,2,Single,0,0.0,Dr. Anthony Gabriel Leão
12712.0,0,13.0,Mobile Phone,Debit Card,Female,3.0,3,Single,0,4.0,Bianca Lopes
15373.0,0,15.0,Mobile Phone,,Male,3.0,5,Divorced,1,4.0,Raul Santos
16140.0,0,18.0,Phone,UPI,Male,3.0,4,Divorced,0,3.0,Pedro Henrique Cavalcanti
17198.0,1,0.0,Computer,Debit Card,Female,3.0,3,Married,1,0.0,Dra. Júlia Pimenta
17238.0,0,2.0,Phone,COD,Male,3.0,2,Married,0,0.0,Rodrigo Martins
12793.0,0,6.0,Mobile Phone,Credit Card,Female,2.0,3,Married,0,,Juliana Duarte
15769.0,0,0.0,Mobile Phone,Debit Card,Male,4.0,2,Married,0,1.0,Caio da Mota
14396.0,1,,Computer,E wallet,Male,3.0,4,Single,1,1.0,Joaquim Sá
