CustomerID,Churn,Tenure,PreferredLoginDevice,PreferredPaymentMode,Gender,NumberOfDeviceRegistered,SatisfactionScore,MaritalStatus,Complain,CouponUsed,NomeCustomer
17850.0,1,4.0,Mobile Phone,Debit Card,Female,3.0,2,Single,1,1.0,Dr. Thales Gonçalves
13047.0,1,,Phone,UPI,Male,4.0,3,Single,1,0.0,Dra. Letícia Sá
12583.0,1,,Phone,Debit Card,Male,4.0,3,Single,1,0.0,Dr. Murilo Mendes
13748.0,1,0.0,Phone,Debit Card,Male,4.0,589314,Single,0,0.0,Sra. Allana Moura
15100.0,1,0.0,Phone,CC,Male,3.0,5,Single,0,1.0,Sarah Jesus
15291.0,1,0.0,Computer,Debit Card,Female,5.0,5,Single,1,4.0,Maria Isis Novaes
14688.0,1,,Phone,Cash on Delivery,Male,3.0,2,Divorced,0,0.0,Sr. Anthony Andrade
17809.0,1,,Phone,CC,Male,3.0,2,Divorced,1,2.0,Ana Liz Dias
15311.0,1,,Phone,Debit Card,Male,5.0,3,,0,1.0,Gael Mendonça
14527.0,1,4.0,Mobile Phone,Cash on Delivery,Female,3.0,3,Divorced,0,9.0,Luna Moraes
16098.0,1,11.0,0,Debit Card,Male,4.0,3,Single,1,0.0,Kevin Alves
18074.0,1,0.0,Phone,CC,Male,4.0,3,Divorced,1,0.0,Ana Cecília da Paz
17420.0,1,9.0,Mobile Phone,Credit Card,Male,4.0,2,Single,0,0.0,José Miguel Pinto
16029.0,1,0.0,Computer,Debit Card,Female,4.0,2,Single,1,1.0,Luiz Gustavo Pinto
16250.0,1,0.0,Computer,Debit Card,Male,5.0,3,Single,1,1.0,Vitor Hugo Macedo
12431.0,1,19.0,Mobile Phone,Debit Card,Female,3.0,4,Divorced,1,1.0,Anna Liz Dias
17511.0,1,0.0,Mobile Phone,Debit Card,Male,5.0,3,Divorced,1,6.0,Yago Sampaio
17548.0,1,20.0,Mobile Phone,Credit Card,Female,3.0,2,Divorced,0,11.0,Dra. Isis Fonseca
13705.0,1,,Mobile Phone,E wallet,Male,3.0,3,Single,1,0.0,Sr. Otto da Rocha
13747.0,1,14.0,Computer,Debit Card,Male,5.0,2,Single,0,0.0,Valentina Correia
13408.0,1,0.0,Phone,Credit Card,Female,3.0,5,Single,0,1.0,Hadassa Albuquerque
13767.0,0,,Phone,E wallet,Male,3.0,3,Divorced,1,0.0,Fernando da Cruz
17924.0,0,18.0,Phone,Debit Card,Male,3.0,4,Married,0,1.0,Ana Laura Siqueira
13448.0,0,0.0,Mobile Phone,Credit Card,Male,4.0,589314,Divorced,0,1.0,Davi Lucca Lima
15862.0,0,30.0,Phone,CC,Female,4.0,4,Divorced,1,1.0,Liz da Cruz
15513.0,0,,Computer,E wallet,Female,3.0,3,,0,1.0,Pedro Abreu
12791.0,0,0.0,Phone,CC,Male,3.0,2,Divorced,0,0.0,Nicole Lopes
16218.0,0,,Computer,CC,Male,3.0,4,Married,0,0.0,Isabelly Fonseca
14045.0,0,30.0,Mobile Phone,Debit Card,Male,2.0,2,Married,1,1.0,Marcos Vinicius Nunes
14307.0,0,0.0,Computer,CC,Male,4.0,3,Married,1,0.0,Igor Pereira
17908.0,0,23.0,Mobile Phone,Debit Card,f,3.0,4,Single,0,2.0,Thiago Rocha
17920.0,0,14.0,Phone,Debit Card,m,3.0,3,Married,0,1.0,Augusto Pacheco
,0,3.0,Mobile Phone,Debit Card,Female,3.0,2,Divorced,0,2.0,Dr. Danilo Marques
12838.0,0,0.0,Phone,COD,Male,3.0,4,Divorced,1,1.0,Bernardo Castro
13255.0,1,0.0,Computer,COD,Female,5.0,5,Single,0,1.0,Dr. João Lima
16583.0,0,3.0,Computer,CC,Male,3.0,5,Married,0,0.0,Zoe Caldeira
18085.0,0,18.0,Mobile Phone,Debit Card,Female,3.0,5,Married,1,0.0,Dr. Lucca Porto
13758.0,0,29.0,Phone,Debit Card,Female,3.0,5,Married,1,1.0,Anthony Costela
13694.0,0,6.0,Phone,Debit Card,Male,,2,Single,0,0.0,Ana Clara Casa Grande
15983.0,1,0.0,Mobile Phone,Debit Card,Male,4.0,2,Single,0,0.0,Stephany Montenegro
14849.0,0,19.0,Mobile Phone,E wallet,Female,3.0,5,Married,0,4.0,Mateus Cavalcante
17968.0,0,,Phone,Debit Card,Female,3.0,2,Single,0,1.0,Luiz Fernando Pires
16210.0,0,4.0,Phone,Credit Card,Female,3.0,2,Divorced,1,1.0,Nina Duarte
17897.0,0,,Phone,CC,Female,3.0,4,Single,0,1.0,Gabrielly Sales
17377.0,1,4.0,Phone,E wallet,Female,3.0,4,,1,0.0,Arthur Gabriel Rocha
16552.0,0,23.0,Phone,Credit Card,Male,4.0,3,Divorced,0,0.0,Dra. Ísis Moraes
17181.0,0,26.0,Phone,Credit Card,Female,2.0,5,,0,1.0,Juan Jesus
17951.0,0,6.0,Phone,CC,f,3.0,4,Divorced,0,0.0,Maria Cecília da Conceição
14729.0,0,28.0,Mobile Phone,Credit Card,m,2.0,4,Single,0,,Srta. Mariana Cardoso
12748.0,0,24.0,Mobile Phone,Credit Card,Female,3.0,4,,0,0.0,Pietro Melo
15012.0,0,,Phone,CC,Female,3.0,4,Single,0,1.0,Emanuella Brito
12868.0,1,0.0,Mobile Phone,Debit Card,Male,4.0,3,Divorced,1,1.0,Helena Correia
17572.0,0,,Computer,CC,m,2.0,2,Married,0,0.0,Antônio Rocha
14078.0,0,15.0,Computer,Credit Card,Female,3.0,3,Married,0,0.0,Luísa Peixoto
14001.0,0,11.0,Mobile Phone,Debit Card,Male,3.0,3,Divorced,0,0.0,Luiza Marques
12662.0,0,11.0,Mobile Phone,COD,Male,3.0,2,Divorced,0,0.0,Sra. Hadassa Dias
15525.0,0,22.0,Computer,Debit Card,Male,3.0,2,Married,1,0.0,Natália Rocha
14237.0,0,7.0,Computer,Credit Card,Male,3.0,3,Married,1,2.0,Carlos Eduardo Guerra
17905.0,0,13.0,Phone,CC,Male,,589314,Divorced,1,1.0,Maitê Oliveira
15485.0,0,0.0,Phone,Debit Card,Male,2.0,4,Married,1,0.0,Isis Siqueira
12433.0,0,,Computer,CC,Female,3.0,2,Single,0,1.0,Luiz Fernando Andrade
16955.0,0,13.0,Computer,Debit Card,Male,4.0,2,Divorced,0,1.0,Dra. Lívia Novaes
15350.0,1,0.0,Mobile Phone,Credit Card,Male,5.0,2,Divorced,0,7.0,Ana Lívia Sales
15605.0,0,3.0,Computer,Debit Card,Male,4.0,3,Single,0,2.0,Dra. Milena Farias
18144.0,0,0.0,Computer,Debit Card,Female,3.0,3,Single,0,1.0,Srta. Lavínia Pimenta
15922.0,1,0.0,Phone,COD,Female,3.0,5,Single,1,1.0,Maysa Fogaça
14594.0,1,0.0,Computer,E wallet,Female,4.0,5,Single,0,0.0,Anna Liz da Conceição
15165.0,1,,Phone,Cash on Delivery,Male,3.0,3,Single,0,0.0,Luísa Jesus
14911.0,0,27.0,Mobile Phone,,Female,3.0,5,Divorced,0,1.0,José Miguel das Neves
16456.0,0,10.0,Computer,UPI,Male,3.0,2,Married,1,0.0,Dra. Ana Laura Mendes
17841.0,0,11.0,Mobile Phone,Debit Card,Male,3.0,3,Married,0,1.0,José Pedro Pastor
12472.0,0,4.0,Computer,Credit Card,Male,5.0,3,Divorced,0,1.0,Nicolas Pastor
17346.0,0,8.0,Computer,E wallet,f,3.0,3,Single,0,1.0,Manuella Melo
17643.0,1,0.0,Phone,CC,Male,4.0,2,Single,1,0.0,Dr. João Lucas Gonçalves
17873.0,0,25.0,Phone,Debit Card,Female,4.0,2,Single,0,0.0,Dr. João Pedro Pires
13093.0,0,23.0,Mobile Phone,Credit Card,Female,3.0,2,Married,0,1.0,Helena Ramos
12921.0,0,16.0,Mobile Phone,E wallet,Female,3.0,2,Divorced,1,0.0,Maria Cecília Aparecida
13468.0,1,0.0,Phone,Debit Card,Female,3.0,5,Divorced,0,1.0,Murilo Pereira
17760.0,0,25.0,Computer,Debit Card,Male,,3,Single,1,,Mirella Dias
16928.0,0,5.0,Phone,Debit Card,Female,3.0,4,Divorced,0,1.0,Maya Ramos
16048.0,1,0.0,Phone,Debit Card,Male,4.0,3,Single,1,1.0,Sra. Amanda Costa
16274.0,0,,Phone,CC,Female,,3,Married,0,0.0,Sr. Benjamin Cirino
14496.0,0,5.0,Computer,E wallet,Male,3.0,2,Divorced,0,1.0,Luana Melo
14696.0,0,14.0,Phone,Debit Card,Male,3.0,5,Married,0,1.0,Luigi Castro
16539.0,0,13.0,Phone,COD,Male,3.0,2,Married,0,2.0,Zoe Cirino
17025.0,0,18.0,Mobile Phone,UPI,Male,2.0,2,Divorced,0,1.0,Isis Azevedo
13777.0,0,4.0,Computer,Credit Card,Male,3.0,3,,0,1.0,Hadassa Marques
17690.0,0,7.0,Mobile Phone,Debit Card,Male,4.0,5,Divorced,0,0.0,João Gabriel Correia
12947.0,0,10.0,Phone,Credit Card,Female,4.0,5,Divorced,0,1.0,Sr. Juan Brito
17460.0,0,18.0,Computer,,Male,2.0,3,Divorced,0,0.0,Maria Sophia Souza
18229.0,1,0.0,Computer,Credit Card,Male,3.0,3,Married,0,1.0,Dra. Alexia Nunes
14142.0,0,12.0,Computer,Cash on Delivery,f,3.0,3,Single,0,10.0,Maria Cecília Sousa
17069.0,0,2.0,Phone,Debit Card,m,3.0,2,Single,0,0.0,Sarah Rocha
13065.0,0,15.0,Mobile Phone,Debit Card,Female,2.0,5,Single,1,0.0,Srta. Ana Liz Brito
14606.0,0,2.0,Mobile Phone,E wallet,Male,3.0,2,Married,0,1.0,Sophia Lopes
16835.0,0,0.0,Phone,,Female,3.0,3,Divorced,0,1.0,Anthony Fernandes
15235.0,0,15.0,Phone,CC,Female,4.0,5,Married,1,4.0,Emanuella Moraes
13576.0,0,24.0,Phone,Debit Card,m,3.0,2,Divorced,0,1.0,Brenda Sales
18011.0,1,0.0,Computer,CC,Male,4.0,4,Single,0,1.0,Pietro Porto
13090.0,0,11.0,Computer,Debit Card,Male,4.0,589314,Divorced,0,6.0,Isabela Ferreira
15694.0,0,,Phone,Cash on Delivery,Male,4.0,5,,0,0.0,Pedro Miguel Abreu
14741.0,0,19.0,Mobile Phone,Cash on Delivery,f,5.0,4,Divorced,1,,Raquel Souza
13715.0,1,0.0,Phone,Debit Card,Male,3.0,3,Single,0,1.0,Theodoro Silva
14092.0,0,2.0,Mobile Phone,Credit Card,Male,4.0,4,Divorced,0,0.0,Ana Júlia Duarte
17732.0,0,4.0,Mobile Phone,Credit Card,Male,4.0,2,Divorced,0,1.0,Maria Sophia Rios
12855.0,0,0.0,Computer,Debit Card,Male,2.0,5,Married,0,1.0,Julia Rodrigues
15752.0,0,18.0,Mobile Phone,Credit Card,Male,3.0,2,Divorced,1,0.0,Sr. Apollo Sampaio
17855.0,0,28.0,Mobile Phone,Credit Card,Male,3.0,5,Single,1,,Noah Cunha
14047.0,1,10.0,Computer,Debit Card,Male,3.0,4,Divorced,1,5.0,Manuella Peixoto
17925.0,0,,Phone,CC,Male,3.0,2,Divorced,0,1.0,Caio Marques
13941.0,0,10.0,Mobile Phone,Credit Card,m,3.0,2,Divorced,0,0.0,Isabela Sampaio
17017.0,0,10.0,Computer,Credit Card,Female,3.0,2,Married,1,0.0,João Vitor Caldeira
14135.0,0,11.0,Mobile Phone,Credit Card,Female,2.0,5,Married,1,0.0,Maitê Macedo
13108.0,0,0.0,Computer,Debit Card,Female,3.0,4,Married,0,0.0,Benjamim Rezende
